Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
1970,10,31,17,53,7.1,2028,,PAPUA NEW GUINEA:  MADANG,-4.907,145.471,8,7.3,8,15,1,,,20,1,1.75,2,800,3,800,3,18,1,,,20,1,1.75,2,800,3,,,Papua New Guinea,Oceania,AU
2000,6,4,16,28,26.1,,,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,33,7.9,6,103,3,,,2174,4,6,3,,,,,103,3,,,2174,4,6,3,,,,,Indonesia,Asia,AU
1989,8,1,0,18,4.8,,,"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER",-4.511,139.022,14,5.8,,120,3,,,125,3,1,2,,,,,120,3,,,125,3,1,2,,,,,Indonesia,Asia,AU
2007,9,12,11,10,26.8,3228,,INDONESIA:  SUMATRA,-4.438,101.367,34,8.4,,25,1,,,161,3,,3,56425,4,,4,25,1,,,161,3,,3,56425,4,,4,Indonesia,Asia,AU
1985,9,15,2,42,54.8,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI,-4.13,136.049,10,6.3,,10,1,,,7,1,,2,,,,,10,1,,,7,1,,2,,,,,Indonesia,Asia,BH
1970,12,10,4,34,38.8,,,PERU:  N;  ECUADOR:  S,-4,-80.7,25,7.6,10,82,2,,,350,3,6,3,,,,,82,2,,,350,3,6,3,,,,,Peru,South America,NZ
1914,6,25,19,7,25.9,1418,,INDONESIA:  SUMATERA,-3.924,101.82,35,7.6,,20,1,,,20,1,,1,,1,,,20,1,,,20,1,,1,,1,,,Indonesia,Asia,CP
2016,1,16,23,22,4,,,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",-3.873,127.229,4,5.6,3,1,1,,,22,1,,1,,,230,3,1,1,,,22,1,,1,,,230,3,Indonesia,Asia,BH
1997,9,28,1,38,28.6,,,"INDONESIA:  SULAWESI, PAREPARE",-3.776,119.727,33,5.9,,20,1,,,300,3,1.1,2,650,3,,,20,1,,,300,3,1.1,2,650,3,,,Indonesia,Asia,BS
1939,6,22,19,19,33,1736,,GHANA:  ACCRA,5.568,-0.625,13,6.4,9,22,1,,,130,3,,3,1500,4,,,22,1,,,130,3,,3,1500,4,,,Ghana,Africa,PA
1964,1,8,22,30,49.7,,,INDONESIA:  SULAWESI:  PINRANG,-3.7,119.4,90,5.2,,8,1,,,27,1,,2,,,,,8,1,,,27,1,,2,,,,,Indonesia,Asia,BS
1967,4,11,5,9,12.1,1987,,INDONESIA:  MAKASSAR STRAIT,-3.7,119.3,33,5.5,8,58,2,,,100,2,,2,,2,,,71,2,,,100,2,,2,,2,,,Indonesia,Asia,BS
2019,10,10,4,39,48,,,INDONESIA:  PASSO,-3.65,128.216,54,5,7,1,1,,,2,1,,2,,,,1,1,1,,,2,1,,2,,,,1,Indonesia,Asia,BH
2004,2,5,21,5,2.8,,,INDONESIA:  NABIRE,-3.615,135.538,17,7,,37,1,,,682,3,1,2,2678,4,,,37,1,,,682,3,1,2,2678,4,,,Indonesia,Asia,BH
2019,11,12,10,10,44,,,INDONESIA:  MALUKU:  AMBON,-3.61,128.299,50,5,,2,1,,,3,1,,1,,1,,,2,1,,,3,1,,1,,1,,,Indonesia,Asia,BH
2004,11,26,2,25,3.3,,,INDONESIA:  NABIRE,-3.609,135.404,10,7.1,8,32,1,,,130,3,55,4,328,3,,,32,1,,,130,3,55,4,328,3,,,Indonesia,Asia,BH
2019,9,25,23,46,44,,,INDONESIA:  MALUKU:  AMBON,-3.45,128.347,18,6.5,,31,1,,,179,3,,3,,1,2675,2,31,1,,,179,3,,3,,1,2675,4,Indonesia,Asia,BH
1953,12,12,17,31,25,1842,,PERU-ECUADOR,-3.4,-80.6,30,7.4,9,6,1,,,20,1,,2,200,3,,,6,1,,,20,1,,2,200,3,,,Peru,South America,NZ
2002,9,8,18,44,25.5,2398,,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,13,7.6,,4,1,,,70,2,,3,,1,873,3,4,1,,,70,2,,3,,1,873,3,Papua New Guinea,Oceania,NB
1969,2,23,0,36,56.6,2011,,"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG",-3.1,118.9,13,7.4,8,64,2,,,97,2,,3,1287,4,,,664,3,,,97,2,,3,1287,4,,,Indonesia,Asia,BS
2015,8,7,1,25,54,,,RWANDA:  BUKAVU,-2.141,28.897,11,5.8,4,3,1,,,30,1,,,,,,,3,1,,,30,1,,,,,,,Rwanda,Africa,SM
2021,1,14,18,28,18,,,"INDONESIA:  SULAWESI:  MAMUJU, MAJENE",-2.976,118.901,18,6.2,9,105,3,3,1,6489,4,58.7,4,1150,4,7863,4,105,3,3,1,6489,4,58.7,4,1150,4,7863,4,Indonesia,Asia,BS
2008,2,3,7,34,12.1,,,CONGO:  BUKAVU,-2.296,28.9,10,5.9,,38,1,,,717,3,,3,99,2,815,3,38,1,,,717,3,,3,99,2,815,3,Congo,Africa,SM
1984,1,8,15,24,13.5,2151,,INDONESIA:  SULAWESI:  W,-2.823,118.806,33,6.6,7,2,1,,,89,2,0.5,1,,,685,3,2,1,,,89,2,0.5,1,,,685,3,Indonesia,Asia,BS
1995,10,3,1,51,23.9,,,ECUADOR:  QUITO,-2.75,-77.881,24,7,,2,1,,,5,1,,1,83,2,,,2,1,,,5,1,,1,83,2,,,Ecuador,South America,ND
