Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
2006,2,14,0,55,25,,,INDIA:  SIKKIM,27.382,88.388,30,5.3,,2,1,,,2,1,,1,,,,,2,1,,,2,1,,1,,,,,India,Asia,EU
2012,9,7,3,19,42.5,,,CHINA: YUNNAN PROVINCE:  ZHAOTONG:  YILIANG,27.575,103.983,10,5.6,,81,2,,,821,3,1000,4,37000,4,133000,4,81,2,,,821,3,1000,4,37000,4,133000,4,China,Asia,EU
2001,5,23,21,10,43.9,,,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN,27.689,101.003,33,5.5,,2,1,,,605,3,36,4,,,,,2,1,,,605,3,36,4,,,,,China,Asia,EU
1969,3,31,7,15,54.4,3646,,"EGYPT:  BENI-SOUEF, AL-QAHIRAH (CAIRO)",27.7,34,33,7,,2,1,,,16,1,,3,107,3,,,2,1,,,16,1,,3,107,3,,,Egypt,Africa,EU
2011,9,18,12,40,51.8,,,INDIA:  SIKKIM,27.73,88.155,50,6.9,,111,3,,,177,3,22.3,3,6000,4,6000,4,111,3,,,177,3,22.3,3,,4,6000,4,India,Asia,EU
2012,6,24,7,59,34.8,,,CHINA:  YUNNAN AND SICHUAN PROVINCES,27.767,100.781,10,5.5,,4,1,,,394,3,,4,6768,4,,,4,1,,,394,3,,4,6768,4,,,China,Asia,EU
2016,11,27,23,35,2,,,"NEPAL:   MOUNT AMA DABLAM, CHARIKHARKA",27.802,86.532,10,5.4,4,1,1,,,1,1,,1,2,1,,,1,1,,,1,1,,1,2,1,,,Nepal,Asia,EU
2015,5,12,7,6,13,,,NEPAL:   DOLAKHA,27.809,86.066,15,7.3,7,117,3,,,2800,4,,2,,2,,,117,3,,,2800,4,,2,,2,,,Nepal,Asia,EU
2006,7,22,1,10,29,,,CHINA:  YANJIN,27.995,104.138,56,4.9,,22,1,,,106,3,,,,,,,22,1,,,106,3,,,,,,,China,Asia,EU
2006,8,25,5,51,44.3,,,CHINA:  SICHUAN PROVINCE,28.012,104.151,22,4.6,,1,1,,,31,1,,2,,,,,1,1,,,31,1,,2,,,,,China,Asia,EU
2015,4,25,6,12,35,,,NEPAL:   KATHMANDU; INDIA; CHINA; BANGLADESH,28.231,84.731,8,7.8,8,8957,4,3,1,24000,4,6000,4,498852,4,256697,4,8957,4,3,1,24000,4,6000,4,498852,4,256697,4,Nepal,Asia,EU
2013,8,31,0,5,15,,,CHINA:  YUNNAN PROVINCE:  BENZILAN,28.243,99.35,8,5.8,,5,1,,,24,1,,3,600,3,55500,4,5,1,,,24,1,,3,600,3,55500,4,China,Asia,EU
2019,6,17,14,55,45,,,CHINA:  SICHUAN:  YIBIN,28.405,104.957,10,5.8,,13,1,,,200,3,1300,4,,,12700,4,13,1,,,200,3,1300,4,,,12700,4,China,Asia,EU
1990,3,4,19,46,19.6,,,"PAKISTAN:  KALAT, QUETTA, MASTUNG",28.925,66.331,10,6.1,,11,1,,,40,1,1,2,,,,3,11,1,,,40,1,1,2,,,,3,Pakistan,Asia,EU
1993,3,20,14,51,59.7,,,CHINA:  TIBET (XIZANG PROVINCE): NGAMRING,29.084,87.333,12,6.2,,2,1,,,3,1,,1,,,,,2,1,,,3,1,,1,,,,,China,Asia,EU
1992,8,28,0,50,50.4,,,PAKISTAN:  KALAT,29.087,66.74,9,5.5,,4,1,,,200,3,,2,,3,,,4,1,,,200,3,,2,,3,,,Pakistan,Asia,EU
2021,9,15,20,33,32,,,CHINA: SICHUAN PROVINCE: LUXIAN (LU),29.182,105.391,10,5.4,7,3,1,,,88,2,250,4,809,3,7290,4,3,1,,,88,2,250,4,809,3,7290,4,China,Asia,EU
2019,2,25,5,16,25,,,CHINA:  SICHUAN PROVINCE: RONGXIAN,29.47,104.609,10,4.9,,2,1,,,12,1,2,2,9,1,10911,4,2,1,,,12,1,2,2,9,1,10911,4,China,Asia,EU
1948,5,25,7,11,21,,,CHINA:  SICHUAN PROVINCE,29.5,100.5,18,7.3,10,800,3,,,200,3,,3,600,3,,,800,3,,,200,3,,3,600,3,,,China,Asia,EU
2001,2,23,0,9,23.6,,,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",29.513,101.129,33,5.6,,3,1,,,109,3,,3,60000,4,60000,4,3,1,,,109,3,,3,60000,4,,,China,Asia,EU
1966,6,27,10,41,9.5,,,NEPAL-INDIA,29.554,80.854,23,6.3,8,80,2,,,100,2,1,2,5200,4,,,80,2,,,100,2,1,2,5200,4,,,Nepal,Asia,EU
2019,9,7,22,42,14,,,CHINA:  SICHUAN PROVINCE: NEIJIANG,29.573,105.064,10,5.1,,1,1,,,63,2,,2,132,3,5041,4,1,1,,,63,2,,2,132,3,5041,4,China,Asia,EU
